experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,mse,mae,rmse,train_months,test_month
132,CSTB2410,gru,32,2,32,0.001,10,1.635398,1.583242,1.635398,['2024-12',,2025-08
133,CSTB2410,gru,64,1,8,0.001,10,1.281682,1.218572,1.281682,['2024-12',,2025-08
134,CSTB2410,gru,64,1,16,0.001,10,1.302947,1.240269,1.302947,['2024-12',,2025-08
135,CSTB2410,gru,64,1,32,0.001,10,1.261267,1.195697,1.261267,['2024-12',,2025-08
136,CSTB2410,gru,64,2,8,0.001,10,1.413826,1.354823,1.413826,['2024-12',,2025-08
137,CSTB2410,gru,64,2,16,0.001,10,1.447869,1.389954,1.447869,['2024-12',,2025-08
138,CSTB2410,gru,64,2,32,0.001,10,1.484163,1.427433,1.484163,['2024-12',,2025-08
139,CSTB2410,gru,128,1,8,0.001,10,0.974489,0.876848,0.974489,['2024-12',,2025-08
140,CSTB2410,gru,128,1,16,0.001,10,1.031868,0.941620,1.031868,['2024-12',,2025-08
141,CSTB2410,gru,128,1,32,0.001,10,0.957799,0.860897,0.957799,['2024-12',,2025-08
142,CSTB2410,gru,128,2,8,0.001,10,1.141782,1.069906,1.141782,['2024-12',,2025-08
143,CSTB2410,gru,128,2,16,0.001,10,1.194766,1.124969,1.194766,['2024-12',,2025-08
144,CSTB2410,gru,128,2,32,0.001,10,1.195519,1.127529,1.195519,['2024-12',,2025-08
145,CSTB2410,rnn,32,1,8,0.001,10,1.527586,1.472243,1.527586,['2024-12',,2025-08
146,CSTB2410,rnn,32,1,16,0.001,10,1.538945,1.483816,1.538945,['2024-12',,2025-08
147,CSTB2410,rnn,32,1,32,0.001,10,1.639660,1.585238,1.639660,['2024-12',,2025-08
148,CSTB2410,rnn,32,2,8,0.001,10,1.613302,1.562082,1.613302,['2024-12',,2025-08
149,CSTB2410,rnn,32,2,16,0.001,10,1.641255,1.589379,1.641255,['2024-12',,2025-08
150,CSTB2410,rnn,32,2,32,0.001,10,1.705172,1.655123,1.705172,['2024-12',,2025-08
151,CSTB2410,rnn,64,1,8,0.001,10,1.388533,1.329954,1.388533,['2024-12',,2025-08
152,CSTB2410,rnn,64,1,16,0.001,10,1.470721,1.415210,1.470721,['2024-12',,2025-08
153,CSTB2410,rnn,64,1,32,0.001,10,1.478712,1.420771,1.478712,['2024-12',,2025-08
154,CSTB2410,rnn,64,2,8,0.001,10,1.569653,1.519427,1.569653,['2024-12',,2025-08
155,CSTB2410,rnn,64,2,16,0.001,10,1.503311,1.450450,1.503311,['2024-12',,2025-08
156,CSTB2410,rnn,64,2,32,0.001,10,1.585031,1.534789,1.585031,['2024-12',,2025-08
157,CSTB2410,rnn,128,1,8,0.001,10,1.002961,0.903180,1.002961,['2024-12',,2025-08
158,CSTB2410,rnn,128,1,16,0.001,10,1.067281,0.974320,1.067281,['2024-12',,2025-08
159,CSTB2410,rnn,128,1,32,0.001,10,1.028160,0.932597,1.028160,['2024-12',,2025-08
160,CSTB2410,rnn,128,2,8,0.001,10,1.616632,1.567760,1.616632,['2024-12',,2025-08
161,CSTB2410,rnn,128,2,16,0.001,10,1.414008,1.357621,1.414008,['2024-12',,2025-08
162,CSTB2410,rnn,128,2,32,0.001,10,1.370766,1.312129,1.370766,['2024-12',,2025-08
