experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,window_size,mse,mae,rmse,train_months,test_month
93,CVRE2407,gru,32,1,8,15,0.001,10,0.566794,0.472888,0.566794,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
94,CVRE2407,gru,32,1,8,20,0.001,10,0.555739,0.456894,0.555739,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
95,CVRE2407,gru,32,1,8,25,0.001,10,0.584871,0.490229,0.584871,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
96,CVRE2407,gru,32,1,16,5,0.001,10,0.611302,0.518645,0.611302,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
97,CVRE2407,gru,32,1,16,10,0.001,10,0.635255,0.550676,0.635255,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
98,CVRE2407,gru,32,1,16,15,0.001,10,0.620741,0.536431,0.620741,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
99,CVRE2407,gru,32,1,16,20,0.001,10,0.666450,0.583166,0.666450,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
100,CVRE2407,gru,32,1,16,25,0.001,10,0.705433,0.631718,0.705433,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
101,CVRE2407,gru,32,1,32,5,0.001,10,0.643890,0.563719,0.643890,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
102,CVRE2407,gru,32,1,32,10,0.001,10,0.706654,0.635650,0.706654,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
